iter	Passed	Remaining
1356	61311	209780
1357	61360	209746
1358	61407	209706
1359	61452	209661
1360	61498	209617
1361	61540	209563
1362	61586	209519
1363	61631	209474
1364	61679	209439
1365	61722	209385
1366	61770	209349
1367	61817	209310
1368	61864	209271
1369	61909	209227
1370	61956	209187
1371	62005	209154
1372	62051	209112
1373	62095	209062
1374	62144	209032
1375	62192	208994
1376	62236	208945
1377	62278	208891
1378	62326	208854
1379	62372	208813
1380	62416	208761
1381	62458	208706
1382	62497	208642
1383	62533	208564
1384	62569	208488
1385	62606	208418
1386	62646	208355
1387	62684	208284
1388	62718	208205
1389	62764	208161
1390	62810	208120
1391	62855	208074
1392	62902	208034
1393	62947	207987
1394	62992	207944
1395	63042	207912
1396	63090	207879
1397	63136	207835
1398	63184	207801
1399	63234	207769
1400	63281	207732
1401	63341	207735
1402	63389	207698
1403	63433	207648
1404	63483	207621
1405	63533	207590
1406	63585	207568
1407	63633	207533
1408	63688	207518
1409	63739	207492
1410	63789	207461
1411	63841	207441
1412	63888	207401
1413	63934	207358
1414	63991	207349
1415	64043	207328
1416	64092	207295
1417	64139	207255
1418	64185	207212
1419	64234	207179
1420	64284	207147
1421	64336	207125
1422	64385	207092
1423	64434	207057
1424	64481	207018
1425	64528	206978
1426	64576	206943
1427	64621	206898
1428	64659	206828
1429	64695	206753
1430	64734	206688
1431	64774	206626
1432	64817	206573
1433	64860	206521
1434	64906	206480
1435	64953	206440
1436	64998	206394
1437	65042	206344
1438	65089	206305
1439	65136	206265
1440	65180	206216
1441	65226	206172
1442	65269	206122
1443	65318	206089
1444	65367	206054
1445	65414	206014
1446	65461	205975
1447	65506	205928
1448	65558	205905
1449	65605	205864
1450	65651	205822
1451	65701	205792
1452	65747	205750
1453	65798	205723
1454	65853	205706
1455	65905	205681
1456	65950	205638
1457	65996	205593
1458	66040	205544
1459	66083	205493
1460	66127	205443
1461	66173	205399
1462	66221	205363
1463	66269	205328
1464	66317	205288
1465	66358	205231
1466	66401	205178
1467	66444	205127
1468	66486	205071
1469	66526	205011
1470	66562	204937
1471	66599	204864
1472	66636	204794
1473	66673	204723
1474	66714	204667
1475	66761	204626
1476	66808	204586
1477	66855	204546
1478	66900	204501
1479	66946	204458
1480	66993	204418
1481	67040	204377
1482	67087	204338
1483	67134	204298
1484	67178	204249
1485	67224	204208
1486	67274	204175
1487	67322	204139
1488	67367	204093
1489	67411	204043
1490	67458	204005
1491	67503	203958
1492	67549	203913
1493	67593	203865
1494	67640	203826
1495	67687	203787
1496	67731	203737
1497	67776	203692
1498	67823	203650
1499	67871	203615
1500	67919	203578
1501	67971	203552
1502	68020	203519
1503	68070	203486
1504	68117	203446
1505	68165	203409
1506	68211	203366
1507	68252	203308
1508	68299	203268
1509	68344	203224
1510	68391	203183
1511	68434	203132
1512	68477	203079
1513	68516	203014
1514	68557	202958
1515	68597	202897
1516	68635	202829
1517	68671	202757
1518	68712	202700
1519	68755	202648
1520	68799	202597
1521	68842	202547
1522	68889	202508
1523	68937	202470
1524	68985	202431
1525	69034	202398
1526	69082	202361
1527	69127	202315
1528	69172	202268
1529	69219	202230
1530	69267	202192
1531	69312	202146
1532	69357	202100
1533	69401	202050
1534	69451	202019
1535	69499	201983
1536	69542	201932
1537	69589	201890
1538	69634	201845
1539	69681	201804
1540	69726	201757
1541	69769	201707
1542	69816	201667
1543	69863	201626
1544	69910	201585
1545	69955	201539
1546	69998	201488
1547	70045	201447
1548	70093	201410
1549	70136	201358
1550	70181	201314
1551	70226	201267
1552	70270	201220
1553	70312	201164
1554	70356	201114
1555	70397	201057
1556	70437	200999
1557	70474	200928
1558	70510	200858
1559	70547	200788
1560	70584	200720
1561	70618	200644
1562	70657	200579
1563	70697	200520
1564	70740	200469
1565	70783	200418
1566	70828	200372
1567	70875	200333
1568	70919	200283
1569	70963	200234
1570	71010	200193
1571	71051	200138
1572	71095	200087
1573	71139	200040
1574	71185	199997
1575	71227	199942
1576	71273	199901
1577	71320	199861
1578	71365	199813
1579	71410	199768
1580	71455	199724
1581	71503	199686
1582	71548	199638
1583	71594	199596
1584	71640	199552
1585	71685	199509
1586	71731	199463
1587	71777	199421
1588	71826	199387
1589	71872	199344
1590	71914	199290
1591	71958	199242
1592	72002	199194
1593	72044	199140
1594	72090	199097
1595	72137	199056
1596	72180	199004
1597	72225	198960
1598	72271	198914
1599	72318	198876
1600	72363	198830
1601	72410	198790
1602	72455	198744
1603	72493	198679
1604	72532	198616
1605	72568	198546
1606	72605	198479
1607	72643	198413
1608	72682	198353
1609	72724	198299
1610	72772	198260
1611	72819	198219
1612	72863	198172
1613	72912	198138
1614	72960	198099
1615	73009	198064
1616	73057	198027
1617	73102	197982
1618	73149	197943
1619	73196	197900
1620	73240	197852
1621	73284	197805
1622	73334	197773
1623	73385	197742
1624	73434	197708
1625	73482	197670
1626	73531	197634
1627	73582	197605
1628	73633	197577
1629	73682	197542
1630	73734	197513
1631	73783	197479
1632	73832	197444
1633	73881	197407
1634	73927	197366
1635	73971	197318
1636	74020	197282
1637	74068	197245
1638	74118	197212
1639	74164	197169
1640	74212	197131
1641	74261	197096
1642	74308	197054
1643	74351	197003
1644	74396	196958
1645	74443	196917
1646	74480	196849
1647	74516	196782
1648	74552	196712
1649	74592	196653
1650	74627	196581
1651	74664	196515
1652	74708	196464
1653	74756	196428
1654	74807	196398
1655	74854	196358
1656	74901	196317
1657	74952	196286
1658	75000	196250
1659	75044	196200
1660	75091	196160
1661	75147	196142
1662	75195	196106
